pieutiwbyo	dziwbyo	dziwbyoNguaidziw	thongqitmra
0342D	㐭		U+342D
034B8	㒸		U+34B8
034DD	㓝		U+34DD
034F9	㓹		U+34F9
03537	㔷		U+3537
03558	㕘		U+3558
0355F	㕟		U+355F
03561	㕡		U+3561
0356F	㕯		U+356F
035DB	㗛		U+35DB
035F3	㗳		U+35F3
03762	㝢		U+3762
03775	㝵		U+3775
037B7	㞷		U+37B7
03810	㠐		U+3810
0382F	㠯		U+382F
038A1	㢡		U+38A1
038C7	㣇		U+38C7
03944	㥄		U+3944
0394F	㥏		U+394F
03951	㥑		U+3951
0395C	㥜		U+395C
03966	㥦		U+3966
039C6	㧆		U+39C6
039C9	㧉		U+39C9
039D1	㧑		U+39D1
039F1	㧱		U+39F1
03A43	㩃		U+3A43
03ABD	㪽		U+3ABD
03ACA	㫊		U+3ACA
03ADA	㫚		U+3ADA
03B0A	㬊		U+3B0A
03B2A	㬪		U+3B2A
03B87	㮇		U+3B87
03B9E	㮞		U+3B9E
03BA3	㮣		U+3BA3
03BB3	㮳		U+3BB3
03BB5	㮵		U+3BB5
03BCD	㯍		U+3BCD
03BF3	㯳		U+3BF3
03C43	㱃		U+3C43
03C7F	㱿		U+3C7F
03C8B	㲋		U+3C8B
03CB2	㲲		U+3CB2
03D4E	㵎		U+3D4E
03D67	㵧		U+3D67
03D85	㶅		U+3D85
03D94	㶔		U+3D94
03E60	㹠		U+3E60
03E6F	㹯		U+3E6F
03EAE	㺮		U+3EAE
03F75	㽵		U+3F75
03FDF	㿟		U+3FDF
040D5	䃕		U+40D5
041AB	䆫		U+41AB
041DF	䇟		U+41DF
0420E	䈎		U+420E
0428B	䊋		U+428B
042AA	䊪		U+42AA
042B7	䊷		U+42B7
042CE	䋎		U+42CE
04343	䍃		U+4343
04350	䍐		U+4350
043C8	䏈		U+43C8
044D6	䓖		U+44D6
04516	䔖		U+4516
04543	䕃		U+4543
0459D	䖝		U+459D
0459F	䖟		U+459F
045B5	䖵		U+45B5
045E0	䗠		U+45E0
04607	䘇		U+4607
0462E	䘮		U+462E
04677	䙷		U+4677
0470B	䜋		U+470B
04723	䜣		U+4723
04819	䠙		U+4819
